symbol,market,signal_date,close,status,status_rank,setup,regime,wyckoff,trigger,direction,zs_zd,zs_zg,entry_price,sl,tp1,tp2,name,sector,notes,engine_version
600741,HS300,2026-09-22,14.92,READY,2,3S,Bear Trend,Neutral,Waiting,SHORT,15.25,15.55,,,,,华域汽车,nan,,1.8.5-source-port
600760,HS300,2026-09-22,44.71,READY,2,3B,Bull Trend,Neutral,Waiting,LONG,43.74,44.44,,,,,中航沈飞,nan,,1.8.5-source-port
600803,HS300,2026-09-22,18.63,READY,2,3B,Bull Trend,Neutral,Waiting,LONG,18.3,18.4,,,,,新奥股份,nan,,1.8.5-source-port
600809,HS300,2026-09-22,113.2,READY,2,3S,Bear Trend,Neutral,Waiting,SHORT,115.15,124.98,,,,,山西汾酒,nan,,1.8.5-source-port
600845,HS300,2026-09-22,18.45,READY,2,3B,Bear Trend,Neutral,Bull Micro BOS,LONG,17.14,17.68,,,,,宝信软件,nan,,1.8.5-source-port
601006,HS300,2026-09-22,4.71,READY,2,3S,Bearish Zhongshu,Neutral,Waiting,SHORT,4.76,4.87,,,,,大秦铁路,nan,,1.8.5-source-port
601077,HS300,2026-09-22,6.58,READY,2,3S,Bull Trend,Neutral,Waiting,SHORT,6.67,6.9,,,,,渝农商行,nan,,1.8.5-source-port
601088,HS300,2026-09-22,47.51,READY,2,3B,Bull Trend,Neutral,Waiting,LONG,45.76,46.8,,,,,中国神华,nan,,1.8.5-source-port
601225,HS300,2026-09-22,26.03,READY,2,3B,Bull Trend,Neutral,Waiting,LONG,24.91,25.6,,,,,陕西煤业,nan,,1.8.5-source-port
601601,HS300,2026-09-22,32.15,READY,2,3S,Bull Trend,Neutral,Waiting,SHORT,32.64,33.09,,,,,中国太保,nan,,1.8.5-source-port
601607,HS300,2026-09-22,16.04,READY,2,3S,Bear Trend,Neutral,Waiting,SHORT,16.15,16.58,,,,,上海医药,nan,,1.8.5-source-port
601668,HS300,2026-09-22,4.3,READY,2,3S,Bear Trend,Neutral,Waiting,SHORT,4.34,4.4,,,,,中国建筑,nan,,1.8.5-source-port
601689,HS300,2026-09-22,45.71,READY,2,3S,Bear Trend,Neutral,Waiting,SHORT,45.48,47.57,,,,,拓普集团,nan,,1.8.5-source-port
601800,HS300,2026-09-22,5.86,READY,2,3S,Bearish Zhongshu,Neutral,Waiting,SHORT,5.88,6.03,,,,,中国交建,nan,,1.8.5-source-port
601868,HS300,2026-09-22,2.43,READY,2,3S,Bear Trend,Neutral,Waiting,SHORT,2.47,2.53,,,,,中国能建,nan,,1.8.5-source-port
601878,HS300,2026-09-22,9.14,READY,2,3S,Bear Trend,Neutral,Waiting,SHORT,9.28,9.39,,,,,浙商证券,nan,,1.8.5-source-port
601881,HS300,2026-09-22,12.18,READY,2,3S,Bear Trend,Neutral,Waiting,SHORT,12.28,12.49,,,,,中国银河,nan,,1.8.5-source-port
601899,HS300,2026-09-22,31.41,READY,2,3S,Bear Trend,Neutral,Waiting,SHORT,32.19,33.27,,,,,紫金矿业,nan,,1.8.5-source-port
601916,HS300,2026-09-22,2.88,READY,2,3S,Bearish Zhongshu,Re-Accumulation,Bear Micro BOS,SHORT,2.94,2.96,,,,,浙商银行,nan,,1.8.5-source-port
603260,HS300,2026-09-22,32.78,READY,2,3S,Bear Trend,Neutral,Waiting,SHORT,32.81,34.89,,,,,合盛硅业,nan,,1.8.5-source-port
603369,HS300,2026-09-22,28.35,READY,2,3S,Bearish Zhongshu,Neutral,Waiting,SHORT,28.59,30.99,,,,,今世缘,nan,,1.8.5-source-port
603392,HS300,2026-09-22,26.22,READY,2,3S,Bearish Zhongshu,Neutral,Waiting,SHORT,28.18,30.33,,,,,万泰生物,nan,,1.8.5-source-port
688009,HS300,2026-09-22,4.68,READY,2,3S,Bear Trend,Neutral,Waiting,SHORT,4.91,4.95,,,,,中国通号,nan,,1.8.5-source-port
000625,HS300,2026-09-22,7.18,READY,2,2B,Bear Trend,Neutral,Waiting,LONG,7.11,7.17,,,,,长安汽车,nan,,1.8.5-source-port
000807,HS300,2026-09-22,26.95,READY,2,2B,Bullish Zhongshu,Neutral,Waiting,LONG,25.45,27.34,,,,,云铝股份,nan,,1.8.5-source-port
001979,HS300,2026-09-22,7.27,READY,2,2S,Bear Trend,Neutral,Waiting,SHORT,6.7,6.73,,,,,招商蛇口,nan,,1.8.5-source-port
002714,HS300,2026-09-22,41.86,READY,2,2S,Bull Trend,Neutral,Waiting,SHORT,40.64,41.55,,,,,牧原股份,nan,,1.8.5-source-port
002837,HS300,2026-09-22,61.52,READY,2,2B,Bearish Zhongshu,Neutral,Waiting,LONG,62.2,63.65,,,,,英维克,nan,,1.8.5-source-port
300014,HS300,2026-09-22,50.55,READY,2,2S,Bearish Zhongshu,Neutral,Waiting,SHORT,54.27,55.86,,,,,亿纬锂能,nan,,1.8.5-source-port
300832,HS300,2026-09-22,49.47,READY,2,2S,Bearish Zhongshu,Neutral,Waiting,SHORT,49.45,49.6,,,,,新产业,nan,,1.8.5-source-port
301165,HS300,2026-09-22,113.53,READY,2,2S,Bull Trend,Neutral,Waiting,SHORT,111.1,114.99,,,,,锐捷网络,nan,,1.8.5-source-port
600011,HS300,2026-09-22,6.8,READY,2,2B,Bullish Zhongshu,Neutral,Waiting,LONG,6.73,6.81,,,,,华能国际,nan,,1.8.5-source-port
600372,HS300,2026-09-22,11.57,READY,2,2B,Bull Trend,Neutral,Waiting,LONG,11.32,11.6,,,,,中航机载,nan,,1.8.5-source-port
600588,HS300,2026-09-22,9.9,READY,2,2S,Bull Trend,Neutral,Bull Micro BOS,SHORT,10.01,10.1,,,,,用友网络,nan,,1.8.5-source-port
600918,HS300,2026-09-22,5.55,READY,2,2S,Bearish Zhongshu,Neutral,Waiting,SHORT,5.6,5.73,,,,,中泰证券,nan,,1.8.5-source-port
600930,HS300,2026-09-22,3.96,READY,2,2B,Bear Trend,Neutral,Waiting,LONG,4.18,4.4,,,,,华电新能,nan,,1.8.5-source-port
601058,HS300,2026-09-22,13.75,READY,2,2S,Bull Trend,Neutral,Waiting,SHORT,13.87,14.12,,,,,赛轮轮胎,nan,,1.8.5-source-port
601238,HS300,2026-09-11,5.09,READY,2,2S,Bearish Zhongshu,Neutral,Bear Micro BOS,SHORT,5.12,5.28,,,,,广汽集团,nan,,1.8.5-source-port
601825,HS300,2026-09-22,8.88,READY,2,2S,Bull Trend,Neutral,Waiting,SHORT,8.78,8.8,,,,,沪农商行,nan,,1.8.5-source-port
601919,HS300,2026-09-22,16.56,READY,2,2S,Bullish Zhongshu,Neutral,Waiting,SHORT,15.88,16.43,,,,,中远海控,nan,,1.8.5-source-port
000157,HS300,2026-09-22,6.17,WATCH,1,NONE,Bearish Zhongshu,Neutral,Waiting,,6.88,7.13,,,,,中联重科,nan,,1.8.5-source-port
000166,HS300,2026-09-22,4.49,WATCH,1,NONE,Neutral Zhongshu,Neutral,Waiting,,4.43,4.53,,,,,申万宏源,nan,,1.8.5-source-port
000301,HS300,2026-09-22,13.7,WATCH,1,NONE,Bullish Zhongshu,Neutral,Waiting,,13.05,13.89,,,,,东方盛虹,nan,,1.8.5-source-port
000538,HS300,2026-09-22,51.32,WATCH,1,NONE,Bullish Zhongshu,Neutral,Waiting,,50.0,51.24,,,,,云南白药,nan,,1.8.5-source-port
000568,HS300,2026-09-22,71.48,WATCH,1,NONE,Bearish Zhongshu,Neutral,Waiting,,85.04,87.24,,,,,泸州老窖,nan,,1.8.5-source-port
000596,HS300,2026-09-22,95.86,WATCH,1,NONE,Bull Trend,Neutral,Waiting,,91.02,92.69,,,,,古井贡酒,nan,,1.8.5-source-port
000651,HS300,2026-09-22,38.18,WATCH,1,NONE,Bearish Zhongshu,Neutral,Waiting,,38.39,39.96,,,,,格力电器,nan,,1.8.5-source-port
000657,HS300,2026-09-22,60.26,WATCH,1,NONE,Bearish Zhongshu,Neutral,Waiting,,62.0,75.5,,,,,中钨高新,nan,,1.8.5-source-port
000725,HS300,2026-09-22,6.0,WATCH,1,NONE,Neutral Zhongshu,Neutral,Waiting,,5.71,6.17,,,,,京东方A,nan,,1.8.5-source-port
000776,HS300,2026-09-22,20.96,WATCH,1,NONE,Bearish Zhongshu,Neutral,Waiting,,21.17,21.22,,,,,广发证券,nan,,1.8.5-source-port
000792,HS300,2026-09-22,24.87,WATCH,1,NONE,Bearish Zhongshu,Neutral,Waiting,,27.72,28.26,,,,,盐湖股份,nan,,1.8.5-source-port
000975,HS300,2026-09-22,24.2,WATCH,1,NONE,Bull Trend,Neutral,Bear Micro BOS,,19.82,20.98,,,,,山金国际,nan,,1.8.5-source-port
000977,HS300,2026-09-22,72.15,WATCH,1,NONE,Bearish Zhongshu,Neutral,Waiting,,76.5,79.3,,,,,浪潮信息,nan,,1.8.5-source-port
000988,HS300,2026-09-22,107.09,WATCH,1,NONE,Neutral Zhongshu,Neutral,Waiting,,100.02,114.58,,,,,华工科技,nan,,1.8.5-source-port
000999,HS300,2026-09-22,23.84,WATCH,1,NONE,Bearish Zhongshu,Neutral,Bear Micro BOS,,24.53,24.66,,,,,华润三九,nan,,1.8.5-source-port
001280,HS300,2026-09-22,63.11,WATCH,1,NONE,Bearish Zhongshu,Neutral,Waiting,,66.4,66.98,,,,,中国铀业,nan,,1.8.5-source-port
001965,HS300,2026-09-22,9.8,WATCH,1,NONE,Bullish Zhongshu,Neutral,Waiting,,9.25,9.9,,,,,招商公路,nan,,1.8.5-source-port
002001,HS300,2026-09-22,26.66,WATCH,1,NONE,Bearish Zhongshu,Neutral,Waiting,,26.23,27.5,,,,,新和成,nan,,1.8.5-source-port
002028,HS300,2026-09-22,128.4,WATCH,1,NONE,Bearish Zhongshu,Neutral,Bear Micro BOS,,169.28,170.5,,,,,思源电气,nan,,1.8.5-source-port
002179,HS300,2026-09-22,35.18,WATCH,1,NONE,Bullish Zhongshu,Neutral,Waiting,,34.79,34.88,,,,,中航光电,nan,,1.8.5-source-port
002202,HS300,2026-09-22,17.97,WATCH,1,NONE,Bearish Zhongshu,Neutral,Waiting,,17.36,19.58,,,,,金风科技,nan,,1.8.5-source-port
002241,HS300,2026-09-22,24.64,WATCH,1,NONE,Bullish Zhongshu,Neutral,Waiting,,23.25,23.87,,,,,歌尔股份,nan,,1.8.5-source-port
002353,HS300,2026-09-22,118.92,WATCH,1,NONE,Bearish Zhongshu,Neutral,Waiting,,115.41,128.45,,,,,杰瑞股份,nan,,1.8.5-source-port
002384,HS300,2026-09-22,198.12,WATCH,1,NONE,Bullish Zhongshu,Neutral,Waiting,,176.75,199.5,,,,,东山精密,nan,,1.8.5-source-port
002460,HS300,2026-09-22,46.39,WATCH,1,NONE,Bearish Zhongshu,Neutral,Waiting,,50.81,55.18,,,,,赣锋锂业,nan,,1.8.5-source-port
