symbol,market,signal_date,close,status,status_rank,setup,regime,wyckoff,trigger,direction,zs_zd,zs_zg,entry_price,sl,tp1,tp2,name,sector,notes,engine_version,previous_status,current_status,change_type
600941,HS300,2026-09-08,97.7,READY,2,3B,Bull Trend,Neutral,Waiting,LONG,94.77,97.44,,,,,中国移动,nan,,1.8.5-source-port,READY,READY,UNCHANGED
601318,HS300,2026-09-08,55.7,READY,2,3B,Bull Trend,Neutral,Waiting,LONG,51.17,55.8,,,,,中国平安,nan,,1.8.5-source-port,READY,READY,UNCHANGED
601398,HS300,2026-09-08,7.94,READY,2,3B,Bull Trend,Neutral,Waiting,LONG,7.45,7.78,,,,,工商银行,nan,,1.8.5-source-port,READY,READY,UNCHANGED
601601,HS300,2026-09-08,33.56,READY,2,3B,Bull Trend,Neutral,Waiting,LONG,31.8,32.17,,,,,中国太保,nan,,1.8.5-source-port,READY,READY,UNCHANGED
601766,HS300,2026-09-08,6.19,READY,2,3B,Bull Trend,Neutral,Waiting,LONG,5.71,5.99,,,,,中国中车,nan,,1.8.5-source-port,READY,READY,UNCHANGED
601888,HS300,2026-09-08,54.59,READY,2,3B,Bullish Zhongshu,Neutral,Waiting,LONG,51.81,53.8,,,,,中国中免,nan,,1.8.5-source-port,READY,READY,UNCHANGED
601988,HS300,2026-09-08,6.39,READY,2,3B,Bull Trend,Neutral,Waiting,LONG,5.79,6.11,,,,,中国银行,nan,,1.8.5-source-port,READY,READY,UNCHANGED
603392,HS300,2026-09-08,27.58,READY,2,3S,Bearish Zhongshu,Neutral,Waiting,SHORT,28.18,30.33,,,,,万泰生物,nan,,1.8.5-source-port,READY,READY,UNCHANGED
603501,HS300,2026-09-08,80.47,READY,2,3S,Bear Trend,Neutral,Waiting,SHORT,86.86,94.89,,,,,豪威集团,nan,,1.8.5-source-port,READY,READY,UNCHANGED
688082,HS300,2026-09-08,280.84,READY,2,3S,Bearish Zhongshu,Neutral,Waiting,SHORT,283.31,338.92,,,,,盛美上海,nan,,1.8.5-source-port,READY,READY,UNCHANGED
688223,HS300,2026-09-08,4.04,READY,2,3S,Bearish Zhongshu,Neutral,Waiting,SHORT,4.3,4.66,,,,,晶科能源,nan,,1.8.5-source-port,READY,READY,UNCHANGED
000002,HS300,2026-09-08,3.27,READY,2,2S,Bullish Zhongshu,Neutral,Waiting,SHORT,3.15,3.17,,,,,万科A,nan,,1.8.5-source-port,READY,READY,UNCHANGED
000157,HS300,2026-09-08,6.68,READY,2,2S,Bearish Zhongshu,Neutral,Waiting,SHORT,6.88,7.13,,,,,中联重科,nan,,1.8.5-source-port,READY,READY,UNCHANGED
000166,HS300,2026-09-08,4.54,READY,2,2B,Bullish Zhongshu,Neutral,Waiting,LONG,4.43,4.53,,,,,申万宏源,nan,,1.8.5-source-port,READY,READY,UNCHANGED
000333,HS300,2026-09-08,85.15,READY,2,2S,Neutral Zhongshu,Neutral,Bear Micro BOS,SHORT,82.39,87.4,,,,,美的集团,nan,,1.8.5-source-port,READY,READY,UNCHANGED
000338,HS300,2026-09-08,26.61,READY,2,2S,Bull Trend,Neutral,Waiting,SHORT,27.99,28.11,,,,,潍柴动力,nan,,1.8.5-source-port,READY,READY,UNCHANGED
000408,HS300,2026-09-08,76.29,READY,2,2S,Bearish Zhongshu,Neutral,Waiting,SHORT,76.47,79.18,,,,,藏格矿业,nan,,1.8.5-source-port,READY,READY,UNCHANGED
000538,HS300,2026-09-08,50.87,READY,2,2S,Bullish Zhongshu,Neutral,Waiting,SHORT,49.36,49.57,,,,,云南白药,nan,,1.8.5-source-port,READY,READY,UNCHANGED
000708,HS300,2026-09-08,13.66,READY,2,2S,Bear Trend,Neutral,Waiting,SHORT,13.82,13.85,,,,,中信特钢,nan,,1.8.5-source-port,READY,READY,UNCHANGED
000807,HS300,2026-09-08,27.49,READY,2,2S,Bear Trend,Neutral,Waiting,SHORT,25.45,27.34,,,,,云铝股份,nan,,1.8.5-source-port,READY,READY,UNCHANGED
000988,HS300,2026-09-08,100.53,READY,2,2B,Bearish Zhongshu,Neutral,Waiting,LONG,100.02,114.58,,,,,华工科技,nan,,1.8.5-source-port,READY,READY,UNCHANGED
000999,HS300,2026-09-08,24.84,READY,2,2S,Bear Trend,Neutral,Waiting,SHORT,24.53,24.66,,,,,华润三九,nan,,1.8.5-source-port,READY,READY,UNCHANGED
001965,HS300,2026-09-08,9.62,READY,2,2S,Neutral Zhongshu,Neutral,Waiting,SHORT,9.25,9.9,,,,,招商公路,nan,,1.8.5-source-port,READY,READY,UNCHANGED
001979,HS300,2026-09-08,6.95,READY,2,2S,Bullish Zhongshu,Neutral,Waiting,SHORT,6.7,6.73,,,,,招商蛇口,nan,,1.8.5-source-port,READY,READY,UNCHANGED
002027,HS300,2026-09-08,4.93,READY,2,2S,Bullish Zhongshu,Neutral,Waiting,SHORT,4.8,4.86,,,,,分众传媒,nan,,1.8.5-source-port,READY,READY,UNCHANGED
002050,HS300,2026-09-08,36.22,READY,2,2B,Bullish Zhongshu,Neutral,Waiting,LONG,35.13,36.72,,,,,三花智控,nan,,1.8.5-source-port,READY,READY,UNCHANGED
002230,HS300,2026-09-08,39.27,READY,2,2S,Bearish Zhongshu,Neutral,Waiting,SHORT,38.67,40.81,,,,,科大讯飞,nan,,1.8.5-source-port,READY,READY,UNCHANGED
002304,HS300,2026-09-08,39.68,READY,2,2S,Bull Trend,Neutral,Waiting,SHORT,39.43,39.45,,,,,洋河股份,nan,,1.8.5-source-port,READY,READY,UNCHANGED
002353,HS300,2026-09-08,125.78,READY,2,2B,Bull Trend,Neutral,Waiting,LONG,144.73,151.29,,,,,杰瑞股份,nan,,1.8.5-source-port,READY,READY,UNCHANGED
002384,HS300,2026-09-08,186.42,READY,2,2B,Bearish Zhongshu,Neutral,Waiting,LONG,204.0,213.4,,,,,东山精密,nan,,1.8.5-source-port,READY,READY,UNCHANGED
002415,HS300,2026-09-08,33.65,READY,2,2S,Bearish Zhongshu,Neutral,Waiting,SHORT,34.0,35.59,,,,,海康威视,nan,,1.8.5-source-port,READY,READY,UNCHANGED
002475,HS300,2026-09-08,55.06,READY,2,2B,Bear Trend,Neutral,Waiting,LONG,55.03,57.99,,,,,立讯精密,nan,,1.8.5-source-port,READY,READY,UNCHANGED
002532,HS300,2026-09-08,13.24,READY,2,2B,Bullish Zhongshu,Neutral,Waiting,LONG,12.27,13.24,,,,,天山铝业,nan,,1.8.5-source-port,READY,READY,UNCHANGED
002558,HS300,2026-09-08,27.4,READY,2,2S,Bullish Zhongshu,Neutral,Waiting,SHORT,25.74,27.72,,,,,巨人网络,nan,,1.8.5-source-port,READY,READY,UNCHANGED
300015,HS300,2026-09-08,8.35,READY,2,2S,Bull Trend,Neutral,Waiting,SHORT,8.6,8.6,,,,,爱尔眼科,nan,,1.8.5-source-port,READY,READY,UNCHANGED
300033,HS300,2026-09-08,214.97,READY,2,2S,Bearish Zhongshu,Neutral,Bear Micro BOS,SHORT,230.41,231.45,,,,,同花顺,nan,,1.8.5-source-port,READY,READY,UNCHANGED
300059,HS300,2026-09-08,18.84,READY,2,2S,Bear Trend,Neutral,Bear Micro BOS,SHORT,19.3,19.65,,,,,东方财富,nan,,1.8.5-source-port,READY,READY,UNCHANGED
300308,HS300,2026-09-08,902.37,READY,2,2B,Neutral Zhongshu,Neutral,Waiting,LONG,830.0,1014.87,,,,,中际旭创,nan,,1.8.5-source-port,READY,READY,UNCHANGED
300394,HS300,2026-09-08,258.5,READY,2,2B,Bearish Zhongshu,Neutral,Waiting,LONG,277.18,295.0,,,,,天孚通信,nan,,1.8.5-source-port,READY,READY,UNCHANGED
300433,HS300,2026-09-08,34.6,READY,2,2B,Bearish Zhongshu,Neutral,Bear Micro BOS,LONG,38.12,39.22,,,,,蓝思科技,nan,,1.8.5-source-port,READY,READY,UNCHANGED
300442,HS300,2026-09-08,63.03,READY,2,2B,Neutral Zhongshu,Neutral,Waiting,LONG,60.8,66.78,,,,,润泽科技,nan,,1.8.5-source-port,READY,READY,UNCHANGED
300450,HS300,2026-09-08,30.88,READY,2,2B,Bearish Zhongshu,Neutral,Bear Micro BOS,LONG,33.01,35.88,,,,,先导智能,nan,,1.8.5-source-port,READY,READY,UNCHANGED
300502,HS300,2026-09-08,416.4,READY,2,2B,Neutral Zhongshu,Neutral,Waiting,LONG,385.0,472.0,,,,,新易盛,nan,,1.8.5-source-port,READY,READY,UNCHANGED
600000,HS300,2026-09-08,9.28,READY,2,2S,Bullish Zhongshu,Neutral,Waiting,SHORT,9.14,9.28,,,,,浦发银行,nan,,1.8.5-source-port,READY,READY,UNCHANGED
600009,HS300,2026-09-08,23.85,READY,2,2S,Bullish Zhongshu,Neutral,Waiting,SHORT,23.62,23.65,,,,,上海机场,nan,,1.8.5-source-port,READY,READY,UNCHANGED
600050,HS300,2026-09-08,4.24,READY,2,2S,Bearish Zhongshu,Neutral,Waiting,SHORT,4.27,4.29,,,,,中国联通,nan,,1.8.5-source-port,READY,READY,UNCHANGED
600061,HS300,2026-09-08,6.47,READY,2,2B,Bullish Zhongshu,Neutral,Waiting,LONG,6.42,6.45,,,,,国投资本,nan,,1.8.5-source-port,READY,READY,UNCHANGED
600233,HS300,2026-09-08,16.67,READY,2,2S,Bull Trend,Neutral,Waiting,SHORT,17.15,17.5,,,,,圆通速递,nan,,1.8.5-source-port,WATCH,READY,WATCH_TO_READY
600406,HS300,2026-09-08,22.41,READY,2,2S,Bull Trend,Accumulation,Bear Micro BOS,SHORT,23.16,23.3,,,,,国电南瑞,nan,,1.8.5-source-port,READY,READY,UNCHANGED
600460,HS300,2026-09-08,30.36,READY,2,2B,Bearish Zhongshu,Neutral,Waiting,LONG,31.74,33.92,,,,,士兰微,nan,,1.8.5-source-port,READY,READY,UNCHANGED
600515,HS300,2026-09-08,2.87,READY,2,2S,Bullish Zhongshu,Neutral,Bull Micro BOS,SHORT,2.83,2.85,,,,,海南机场,nan,,1.8.5-source-port,READY,READY,UNCHANGED
600519,HS300,2026-09-08,1309.3,READY,2,2S,Bullish Zhongshu,Neutral,Waiting,SHORT,1270.33,1307.99,,,,,贵州茅台,nan,,1.8.5-source-port,READY,READY,UNCHANGED
600522,HS300,2026-09-08,32.51,READY,2,2B,Bearish Zhongshu,Neutral,Waiting,LONG,31.31,36.8,,,,,中天科技,nan,,1.8.5-source-port,READY,READY,UNCHANGED
600584,HS300,2026-09-08,68.6,READY,2,2B,Bearish Zhongshu,Neutral,Waiting,LONG,71.06,87.5,,,,,长电科技,nan,,1.8.5-source-port,READY,READY,UNCHANGED
600660,HS300,2026-09-08,54.17,READY,2,2S,Bearish Zhongshu,Neutral,Bear Micro BOS,SHORT,55.9,58.52,,,,,福耀玻璃,nan,,1.8.5-source-port,READY,READY,UNCHANGED
600690,HS300,2026-09-08,21.42,READY,2,2S,Bullish Zhongshu,Neutral,Waiting,SHORT,20.45,21.49,,,,,海尔智家,nan,,1.8.5-source-port,READY,READY,UNCHANGED
600741,HS300,2026-09-08,15.5,READY,2,2S,Bullish Zhongshu,Neutral,Waiting,SHORT,15.18,15.55,,,,,华域汽车,nan,,1.8.5-source-port,READY,READY,UNCHANGED
600809,HS300,2026-09-08,122.2,READY,2,2S,Bullish Zhongshu,Neutral,Waiting,SHORT,115.15,124.98,,,,,山西汾酒,nan,,1.8.5-source-port,READY,READY,UNCHANGED
600886,HS300,2026-09-08,14.13,READY,2,2S,Bullish Zhongshu,Neutral,Waiting,SHORT,14.09,14.13,,,,,国投电力,nan,,1.8.5-source-port,READY,READY,UNCHANGED
600887,HS300,2026-09-08,26.53,READY,2,2S,Bullish Zhongshu,Neutral,Waiting,SHORT,26.01,26.25,,,,,伊利股份,nan,,1.8.5-source-port,READY,READY,UNCHANGED
600905,HS300,2026-09-08,3.7,READY,2,2S,Bear Trend,Neutral,Waiting,SHORT,3.68,3.75,,,,,三峡能源,nan,,1.8.5-source-port,READY,READY,UNCHANGED
601138,HS300,2026-09-08,64.75,READY,2,2S,Bullish Zhongshu,Neutral,Waiting,SHORT,58.75,60.84,,,,,工业富联,nan,,1.8.5-source-port,READY,READY,UNCHANGED
601166,HS300,2026-09-08,18.17,READY,2,2S,Bullish Zhongshu,Neutral,Waiting,SHORT,17.89,18.01,,,,,兴业银行,nan,,1.8.5-source-port,READY,READY,UNCHANGED
601186,HS300,2026-09-08,6.1,READY,2,2S,Neutral Zhongshu,Neutral,Waiting,SHORT,6.06,6.14,,,,,中国铁建,nan,,1.8.5-source-port,READY,READY,UNCHANGED
601238,HS300,2026-09-08,5.2,READY,2,2S,Neutral Zhongshu,Neutral,Waiting,SHORT,5.12,5.28,,,,,广汽集团,nan,,1.8.5-source-port,READY,READY,UNCHANGED
601336,HS300,2026-09-08,60.06,READY,2,2S,Bear Trend,Neutral,Waiting,SHORT,59.78,61.0,,,,,新华保险,nan,,1.8.5-source-port,READY,READY,UNCHANGED
601360,HS300,2026-09-08,8.97,READY,2,2S,Bearish Zhongshu,Neutral,Waiting,SHORT,9.25,9.44,,,,,三六零,nan,,1.8.5-source-port,READY,READY,UNCHANGED
601390,HS300,2026-09-08,4.42,READY,2,2S,Bearish Zhongshu,Neutral,Waiting,SHORT,4.4,4.48,,,,,中国中铁,nan,,1.8.5-source-port,READY,READY,UNCHANGED
601456,HS300,2026-09-08,8.84,READY,2,2B,Bear Trend,Neutral,Waiting,LONG,8.93,8.96,,,,,国联民生,nan,,1.8.5-source-port,READY,READY,UNCHANGED
601600,HS300,2026-09-08,9.74,READY,2,2S,Bear Trend,Neutral,Waiting,SHORT,9.21,9.81,,,,,中国铝业,nan,,1.8.5-source-port,READY,READY,UNCHANGED
601669,HS300,2026-09-08,4.66,READY,2,2S,Bullish Zhongshu,Neutral,Waiting,SHORT,4.59,4.65,,,,,中国电建,nan,,1.8.5-source-port,READY,READY,UNCHANGED
601688,HS300,2026-09-08,19.27,READY,2,2B,Bear Trend,Neutral,Waiting,LONG,19.13,19.32,,,,,华泰证券,nan,,1.8.5-source-port,READY,READY,UNCHANGED
601818,HS300,2026-09-08,3.04,READY,2,2S,Bearish Zhongshu,Neutral,Waiting,SHORT,3.01,3.1,,,,,光大银行,nan,,1.8.5-source-port,READY,READY,UNCHANGED
601919,HS300,2026-09-08,16.14,READY,2,2S,Bull Trend,Neutral,Waiting,SHORT,13.49,14.72,,,,,中远海控,nan,,1.8.5-source-port,READY,READY,UNCHANGED
603260,HS300,2026-09-08,33.65,READY,2,2B,Neutral Zhongshu,Neutral,Waiting,LONG,32.81,34.89,,,,,合盛硅业,nan,,1.8.5-source-port,READY,READY,UNCHANGED
603288,HS300,2026-09-08,34.06,READY,2,2S,Neutral Zhongshu,Neutral,Waiting,SHORT,33.5,34.7,,,,,海天味业,nan,,1.8.5-source-port,READY,READY,UNCHANGED
603986,HS300,2026-09-08,385.96,READY,2,2B,Bearish Zhongshu,Neutral,Waiting,LONG,451.0,455.81,,,,,兆易创新,nan,,1.8.5-source-port,READY,READY,UNCHANGED
688012,HS300,2026-09-08,336.01,READY,2,2B,Bearish Zhongshu,Neutral,Bear Micro BOS,LONG,341.64,388.23,,,,,中微公司,nan,,1.8.5-source-port,READY,READY,UNCHANGED
688111,HS300,2026-09-08,235.27,READY,2,2S,Bear Trend,Neutral,Bear Micro BOS,SHORT,249.0,249.37,,,,,金山办公,nan,,1.8.5-source-port,READY,READY,UNCHANGED
688126,HS300,2026-09-08,22.82,READY,2,2B,Bearish Zhongshu,Neutral,Waiting,LONG,23.02,24.82,,,,,沪硅产业,nan,,1.8.5-source-port,READY,READY,UNCHANGED
688396,HS300,2026-09-08,56.6,READY,2,2B,Bearish Zhongshu,Neutral,Waiting,LONG,60.49,62.71,,,,,华润微,nan,,1.8.5-source-port,READY,READY,UNCHANGED
000001,HS300,2026-09-08,11.78,WATCH,1,NONE,Bull Trend,Neutral,Waiting,,11.03,11.25,,,,,平安银行,nan,,1.8.5-source-port,READY,WATCH,READY_TO_WATCH
000301,HS300,2026-09-08,14.2,WATCH,1,NONE,Bull Trend,Neutral,Waiting,,11.25,12.3,,,,,东方盛虹,nan,,1.8.5-source-port,WATCH,WATCH,UNCHANGED
000425,HS300,2026-09-08,8.33,WATCH,1,NONE,Bullish Zhongshu,Neutral,Waiting,,7.82,8.12,,,,,徐工机械,nan,,1.8.5-source-port,WATCH,WATCH,UNCHANGED
000568,HS300,2026-09-08,77.78,WATCH,1,NONE,Bearish Zhongshu,Neutral,Waiting,,85.04,87.24,,,,,泸州老窖,nan,,1.8.5-source-port,WATCH,WATCH,UNCHANGED
000596,HS300,2026-09-08,101.0,WATCH,1,NONE,Bull Trend,Neutral,Bull Micro BOS,,87.87,92.69,,,,,古井贡酒,nan,,1.8.5-source-port,WATCH,WATCH,UNCHANGED
000617,HS300,2026-09-08,7.25,WATCH,1,NONE,Bull Trend,Distrib Watch,Waiting,,6.62,7.32,,,,,中油资本,nan,,1.8.5-source-port,WATCH,WATCH,UNCHANGED
000630,HS300,2026-09-08,6.54,WATCH,1,NONE,Neutral Zhongshu,Neutral,Waiting,,6.33,6.8,,,,,铜陵有色,nan,,1.8.5-source-port,WATCH,WATCH,UNCHANGED
000651,HS300,2026-09-08,38.29,WATCH,1,NONE,Bearish Zhongshu,Neutral,Bear Micro BOS,,38.39,39.96,,,,,格力电器,nan,,1.8.5-source-port,WATCH,WATCH,UNCHANGED
000725,HS300,2026-09-08,5.56,WATCH,1,NONE,Bearish Zhongshu,Neutral,Waiting,,5.71,6.17,,,,,京东方A,nan,,1.8.5-source-port,WATCH,WATCH,UNCHANGED
000768,HS300,2026-09-08,23.55,WATCH,1,NONE,Bull Trend,Neutral,Waiting,,20.72,20.91,,,,,中航西飞,nan,,1.8.5-source-port,WATCH,WATCH,UNCHANGED
000776,HS300,2026-09-08,21.63,WATCH,1,NONE,Bullish Zhongshu,Neutral,Waiting,,21.17,21.22,,,,,广发证券,nan,,1.8.5-source-port,WATCH,WATCH,UNCHANGED
000792,HS300,2026-09-08,26.83,WATCH,1,NONE,Bearish Zhongshu,Neutral,Waiting,,27.72,28.26,,,,,盐湖股份,nan,,1.8.5-source-port,WATCH,WATCH,UNCHANGED
000975,HS300,2026-09-08,25.8,WATCH,1,NONE,Bull Trend,Neutral,Waiting,,19.82,20.98,,,,,山金国际,nan,,1.8.5-source-port,WATCH,WATCH,UNCHANGED
000977,HS300,2026-09-08,72.32,WATCH,1,NONE,Bull Trend,Neutral,Waiting,,76.5,79.3,,,,,浪潮信息,nan,,1.8.5-source-port,WATCH,WATCH,UNCHANGED
