recorded_at,symbol,market,signal_date,close,status,status_rank,setup,regime,wyckoff,trigger,direction,zs_zd,zs_zg,entry_price,sl,tp1,tp2,name,sector,notes,engine_version,previous_status,current_status,change_type
2026-09-01T01:21:44.141168+00:00,SPG,SP500,2026-08-31,212.32000732421875,WATCH,1,NONE,Bearish Zhongshu,Neutral,Bear Micro BOS,,224.22,231.53,,,,,Simon Property Group,Real Estate,,1.8.5-source-port,NONE,WATCH,NEW_WATCH
2026-09-01T01:21:44.141168+00:00,SPGI,SP500,2026-08-31,435.8399963378906,WATCH,1,NONE,Bullish Zhongshu,Neutral,Waiting,,405.09,406.76,,,,,S&P Global,Financials,,1.8.5-source-port,NONE,WATCH,NEW_WATCH
2026-09-01T01:21:44.141168+00:00,SRE,SP500,2026-08-31,81.69999694824219,WATCH,1,NONE,Bear Trend,Neutral,Waiting,,86.48,87.26,,,,,Sempra,Utilities,,1.8.5-source-port,NONE,WATCH,NEW_WATCH
2026-09-01T01:21:44.141168+00:00,STE,SP500,2026-08-31,232.63999938964844,WATCH,1,NONE,Bull Trend,Neutral,Waiting,,214.54,222.54,,,,,Steris,Health Care,,1.8.5-source-port,NONE,WATCH,NEW_WATCH
2026-09-01T01:21:44.141168+00:00,STT,SP500,2026-08-31,191.3800048828125,WATCH,1,NONE,Bull Trend,Neutral,Waiting,,175.5,188.85,,,,,State Street Corporation,Financials,,1.8.5-source-port,NONE,WATCH,NEW_WATCH
2026-09-01T01:21:44.141168+00:00,STX,SP500,2026-08-31,828.3800048828125,WATCH,1,NONE,Bull Trend,Neutral,Waiting,,880.01,906.3,,,,,Seagate Technology,Information Technology,,1.8.5-source-port,NONE,WATCH,NEW_WATCH
2026-09-01T01:21:44.141168+00:00,STZ,SP500,2026-08-31,130.6199951171875,WATCH,1,NONE,Neutral Zhongshu,Neutral,Waiting,,127.67,133.45,,,,,Constellation Brands,Consumer Staples,,1.8.5-source-port,NONE,WATCH,NEW_WATCH
2026-09-01T01:21:44.141168+00:00,SWK,SP500,2026-08-31,96.37000274658203,WATCH,1,NONE,Bearish Zhongshu,Neutral,Bear Micro BOS,,97.05,100.85,,,,,Stanley Black & Decker,Industrials,,1.8.5-source-port,NONE,WATCH,NEW_WATCH
2026-09-01T01:21:44.141168+00:00,SWKS,SP500,2026-08-31,67.01000213623047,WATCH,1,NONE,Bull Trend,Neutral,Waiting,,64.8,65.52,,,,,Skyworks Solutions,Information Technology,,1.8.5-source-port,NONE,WATCH,NEW_WATCH
2026-09-01T01:21:44.141168+00:00,TAP,SP500,2026-08-31,39.7599983215332,WATCH,1,NONE,Bull Trend,Distribution,Bear Micro BOS,,40.82,42.56,,,,,Molson Coors Beverage Company,Consumer Staples,,1.8.5-source-port,NONE,WATCH,NEW_WATCH
2026-09-01T01:21:44.141168+00:00,TDG,SP500,2026-08-31,1171.739990234375,WATCH,1,NONE,Bear Trend,Neutral,Bear Micro BOS,,1212.69,1225.97,,,,,TransDigm Group,Industrials,,1.8.5-source-port,NONE,WATCH,NEW_WATCH
2026-09-01T01:21:44.141168+00:00,TECH,SP500,2026-08-31,72.30999755859375,WATCH,1,NONE,Bullish Zhongshu,Neutral,Waiting,,50.88,52.07,,,,,Bio-Techne,Health Care,,1.8.5-source-port,NONE,WATCH,NEW_WATCH
2026-09-01T01:21:44.141168+00:00,TEL,SP500,2026-08-31,205.25,WATCH,1,NONE,Bullish Zhongshu,Neutral,Waiting,,200.33,203.5,,,,,TE Connectivity,Information Technology,,1.8.5-source-port,NONE,WATCH,NEW_WATCH
2026-09-01T01:21:44.141168+00:00,TER,SP500,2026-08-31,349.8299865722656,WATCH,1,NONE,Bearish Zhongshu,Neutral,Waiting,,364.26,365.0,,,,,Teradyne,Information Technology,,1.8.5-source-port,NONE,WATCH,NEW_WATCH
2026-09-01T01:21:44.141168+00:00,TJX,SP500,2026-08-31,133.91000366210938,WATCH,1,NONE,Bearish Zhongshu,Neutral,Bear Micro BOS,,154.81,155.25,,,,,TJX Companies,Consumer Discretionary,,1.8.5-source-port,NONE,WATCH,NEW_WATCH
2026-09-01T01:21:44.141168+00:00,TMO,SP500,2026-08-31,617.0999755859375,WATCH,1,NONE,Bull Trend,Neutral,Waiting,,562.5,588.56,,,,,Thermo Fisher Scientific,Health Care,,1.8.5-source-port,NONE,WATCH,NEW_WATCH
2026-09-01T01:21:44.141168+00:00,TMUS,SP500,2026-08-31,180.44000244140625,WATCH,1,NONE,Bullish Zhongshu,Neutral,Waiting,,175.21,179.34,,,,,T-Mobile US,Communication Services,,1.8.5-source-port,NONE,WATCH,NEW_WATCH
2026-09-01T01:21:44.141168+00:00,TPL,SP500,2026-08-31,374.3399963378906,WATCH,1,NONE,Bearish Zhongshu,Neutral,Waiting,,390.0,396.78,,,,,Texas Pacific Land Corporation,Energy,,1.8.5-source-port,NONE,WATCH,NEW_WATCH
2026-09-01T01:21:44.141168+00:00,TPR,SP500,2026-08-31,123.38999938964844,WATCH,1,NONE,Bear Trend,Neutral,Bear Micro BOS,,142.89,143.86,,,,,"Tapestry, Inc.",Consumer Discretionary,,1.8.5-source-port,NONE,WATCH,NEW_WATCH
2026-09-01T01:21:44.141168+00:00,TRGP,SP500,2026-08-31,293.6499938964844,WATCH,1,NONE,Bull Trend,Neutral,Waiting,,259.44,266.89,,,,,Targa Resources,Energy,,1.8.5-source-port,NONE,WATCH,NEW_WATCH
2026-09-01T01:21:44.141168+00:00,TRMB,SP500,2026-08-31,59.939998626708984,WATCH,1,NONE,Bull Trend,Neutral,Waiting,,52.8,53.57,,,,,Trimble Inc.,Information Technology,,1.8.5-source-port,NONE,WATCH,NEW_WATCH
2026-09-01T01:21:44.141168+00:00,TROW,SP500,2026-08-31,111.27999877929688,WATCH,1,NONE,Bear Trend,Neutral,Waiting,,113.06,113.49,,,,,T. Rowe Price,Financials,,1.8.5-source-port,NONE,WATCH,NEW_WATCH
2026-09-01T01:21:44.141168+00:00,TRV,SP500,2026-08-31,365.92999267578125,WATCH,1,NONE,Bear Trend,Neutral,Waiting,,370.15,373.55,,,,,Travelers Companies (The),Financials,,1.8.5-source-port,NONE,WATCH,NEW_WATCH
2026-09-01T01:21:44.141168+00:00,TSCO,SP500,2026-08-31,34.900001525878906,WATCH,1,NONE,Bull Trend,Neutral,Waiting,,29.22,31.12,,,,,Tractor Supply,Consumer Discretionary,,1.8.5-source-port,NONE,WATCH,NEW_WATCH
2026-09-01T01:21:44.141168+00:00,TSLA,SP500,2026-08-31,367.95001220703125,WATCH,1,NONE,Bullish Zhongshu,Accum Watch,Bull Micro BOS,,345.2,366.5,,,,,"Tesla, Inc.",Consumer Discretionary,,1.8.5-source-port,NONE,WATCH,NEW_WATCH
2026-09-01T01:21:44.141168+00:00,TSN,SP500,2026-08-31,55.13999938964844,WATCH,1,NONE,Bear Trend,Neutral,Bear Micro BOS,,57.28,58.98,,,,,Tyson Foods,Consumer Staples,,1.8.5-source-port,NONE,WATCH,NEW_WATCH
2026-09-01T01:21:44.141168+00:00,TT,SP500,2026-08-31,444.3999938964844,WATCH,1,NONE,Bear Trend,Neutral,Bear Micro BOS,,468.98,488.56,,,,,Trane Technologies,Industrials,,1.8.5-source-port,NONE,WATCH,NEW_WATCH
2026-09-01T01:21:44.141168+00:00,TTD,SP500,2026-08-31,13.720000267028809,WATCH,1,NONE,Neutral Zhongshu,Neutral,Waiting,,13.14,14.7,,,,,Trade Desk (The),Communication Services,,1.8.5-source-port,NONE,WATCH,NEW_WATCH
2026-09-01T01:21:44.141168+00:00,TTWO,SP500,2026-08-31,219.6999969482422,WATCH,1,NONE,Bearish Zhongshu,Neutral,Bear Micro BOS,,236.24,241.29,,,,,Take-Two Interactive,Communication Services,,1.8.5-source-port,NONE,WATCH,NEW_WATCH
2026-09-01T01:21:44.141168+00:00,TXN,SP500,2026-08-31,260.9100036621094,WATCH,1,NONE,Bear Trend,Neutral,Waiting,,282.73,284.92,,,,,Texas Instruments,Information Technology,,1.8.5-source-port,NONE,WATCH,NEW_WATCH
2026-09-01T01:21:44.141168+00:00,TXT,SP500,2026-08-31,80.55999755859375,WATCH,1,NONE,Bear Trend,Neutral,Bear Micro BOS,,88.25,90.25,,,,,Textron,Industrials,,1.8.5-source-port,NONE,WATCH,NEW_WATCH
2026-09-01T01:21:44.141168+00:00,UAL,SP500,2026-08-31,107.98999786376953,WATCH,1,NONE,Bear Trend,Neutral,Bear Micro BOS,,114.04,117.96,,,,,United Airlines Holdings,Industrials,,1.8.5-source-port,NONE,WATCH,NEW_WATCH
2026-09-01T01:21:44.141168+00:00,UDR,SP500,2026-08-31,36.95000076293945,WATCH,1,NONE,Bear Trend,Neutral,Bear Micro BOS,,37.5,37.97,,,,,"UDR, Inc.",Real Estate,,1.8.5-source-port,NONE,WATCH,NEW_WATCH
2026-09-01T01:21:44.141168+00:00,UHS,SP500,2026-08-31,170.3300018310547,WATCH,1,NONE,Bull Trend,Neutral,Bear Micro BOS,,164.9,176.03,,,,,Universal Health Services,Health Care,,1.8.5-source-port,NONE,WATCH,NEW_WATCH
